,dT,Res ra,Res dec,Res az,Res alt,Base Ra,Base Dec,Base Az,Base Alt,Snakes,UTC
371,164,-0.10808278616423195,0.17999604640692723,937.0555851508016,1500.2694181984366,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:54:51
372,172,0.19379525563181232,0.2537528286950419,989.0437711662798,1581.4903250397776,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:54:59
373,194,13710.854996608872,-8943.802388085984,10425.87591863371,-9386.610437754427,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:55:21
374,202,13710.583196523407,-8944.18380051175,10470.89728493097,-9309.180363563675,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:55:29
375,211,13710.704473401074,-8943.730083518172,10514.540334317053,-9231.826267340417,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:55:38
376,232,-0.08981997098089778,0.2756541653241129,1343.2685085692242,2127.614109532081,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:55:59
377,241,0.0424404615387175,0.40728347759966255,1395.885001493616,2208.2493160333797,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:56:08
378,250,0.022402851209335495,0.3490185588219674,1449.2189761687428,2289.2082200641826,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:56:17
379,271,15964.838766512297,7227.323409068742,-15688.73827667627,-5481.454491789819,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:56:38
380,280,15965.308177793191,7227.614786564442,-15654.766358484983,-5394.318301082572,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:56:47
381,289,15965.23672136368,7227.419657208159,-15619.735919010986,-5306.929113358785,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:56:56
382,310,-0.24594482840711862,-0.020642025484107762,1812.2660215927112,2834.54212644001,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:57:17
383,319,-0.3929471952687891,0.3276140630845248,1865.9448300104032,2915.4648086069556,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:57:26
384,328,-0.11157478832046763,0.16798248659597448,1920.3657495394737,2995.835395369218,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:57:35
385,349,507.58263307773177,12593.577042561741,-19770.892050479335,6849.756058015899,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:57:56
386,358,507.9483499115213,12593.5777099804,-19725.169427694367,6938.522289897747,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:58:05
387,367,508.14172031864473,12593.489467489095,-19678.7069027999,7028.108467244286,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:58:14
388,388,-0.6143759872429655,0.549338796020038,2290.4637098682315,3540.748623495742,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:58:35
389,396,-0.4898051941381709,0.4072673087733847,2345.946447150641,3621.0272333376397,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:58:43
390,405,-0.7794000426429193,0.2779693657714688,2402.011360616382,3701.9640486862245,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:58:52
391,0,0.0,0.0,0.0,0.0,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 07:59:26
392,9,0.11759403782889422,0.2885785164238541,14.14608696391042,81.42690440446358,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 07:59:35
393,18,0.6199920946301063,0.17433718154222788,29.007003231129147,163.24093680445628,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 07:59:44
394,39,5590.382973473015,12121.47024656227,-17411.980534632516,-2097.6181493556624,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:00:05
395,47,5590.284427044935,12121.202116764814,-17405.728769047015,-2009.7165115560556,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:00:13
