,DATE,MJD,EXPTIME,RA,DEC,AIRMASS,ROT_ANGLE,AZ,EL,RA_MD,DEC_MD,EXPTIME_MD,TEMP_SET_MD,CCDTEMP_MD,FILTER_MD,ELSTART_MD,ELEND_MD,AZSTART_MD,AZEND_MD,RA_WCS,DEC_WCS,dRA,dDEC,PNT_OFFSET
2020022100743,2020-02-22 09:21:41.661999,58901.390065532396,20.0,307.078084166667,-87.472205,1.9768482738164155,-176.184539,176.882407147845,30.388173220970202,307.078084166667,-87.472205,20.0,-104.150001525879,-100.925064086914,RG610,30.3881732209702,30.3925608678837,176.882407147845,176.882450957259,306.8814786936538,-87.4651570331,11.79632838079719,-0.4228780139999419,0.6710112733400009
2020022100752,2020-02-22 09:30:17.475001,58901.39603559028,3.0,243.905292916667,-8.36943916666667,1.1451365011992642,-232.242236,45.9792950046394,60.8395161314838,243.905292916667,-8.36943916666667,3.0,-104.150001525879,-100.936210632324,RG610,60.8395161314838,60.8550984247559,45.9792950046394,45.9396939766739,243.89620834064297,-8.37527557038572,0.5450745614393789,0.3501842231428817,0.6429901309509479
2020022100753,2020-02-22 09:30:37.450001,58901.396266782416,20.0,243.905292916667,-8.36943916666667,1.1448180664817558,-231.691232,45.9066397738789,60.868091045224,243.905292916667,-8.36943916666667,20.0,-104.150001525879,-100.868309020996,RG610,60.868091045224,60.9276933058136,45.9066397738789,45.754894692931,243.89623964764542,-8.375242141322646,0.5431961412923335,0.3481784793583932,0.6403395246377082
2020022100761,2020-02-22 09:38:36.831498,58901.40181517937,3.0,307.078084166667,-87.472205,1.9655936004538381,-173.46164,176.895030964573,30.580747781612395,307.078084166667,-87.472205,3.0,-104.150001525879,-100.903419494629,RG610,30.5807477816124,30.5818944259663,176.895030964573,176.895125735959,306.8953063799762,-87.46472624508877,10.966667201451912,-0.44872529467319466,0.6602928752022245
2020022100762,2020-02-22 09:38:56.842002,58901.40204678243,20.0,307.078084166667,-87.472205,1.965472025667837,-173.458601,176.895214248856,30.582842139818197,307.078084166667,-87.472205,20.0,-104.150001525879,-100.908432006836,RG610,30.5828421398182,30.5872177167912,176.895214248856,176.895639378985,306.8957729061053,-87.46472814432856,10.938675633703088,-0.4486113402863254,0.6593087432908724
2020022100780,2020-02-22 09:53:28.030001,58901.41212997686,20.0,243.905292916667,-8.36943916666667,1.1114174875588543,-239.15365500000001,35.862733949456,64.1254751964443,243.905292916667,-8.36943916666667,20.0,-104.150001525879,-100.940757751465,RG610,64.1254751964443,64.17411526879,35.862733949456,35.6759207737923,243.89530042896374,-8.376398771493696,0.5995492621932095,0.41757628962141846,0.7254015111082778
2020031400050,2020-03-15 00:33:55.085000,58923.023554224535,1.0,166.964328333333,-16.0290455555556,1.6748142260806735,-208.135025,88.0781484437175,36.6611350162857,166.964328333333,-16.0290455555556,1.0,-104.150001525879,-100.761108398438,empty_1,36.6611350162857,36.6755916758411,88.0781484437175,88.0693485629745,166.96378816018904,-16.028510733334368,0.0324103886369747,-0.032089333273978345,0.044722154685704354
2020031400054,2020-03-15 00:45:25.132000,58923.03154087963,2.0,166.964328333333,-16.0290455555556,1.5836801643173892,-207.220404,86.5311513138004,39.1564897283097,166.964328333333,-16.0290455555556,2.0,-104.150001525879,-100.745040893555,empty_1,39.1564897283097,39.1745168550988,86.5311513138004,86.519776512403,166.95412244363325,-16.026993140829507,0.6123533819842396,-0.12314488356559093,0.6012943270663335
2020031400058,2020-03-15 01:05:12.208000,58923.04528018518,2.0,166.964328333333,-16.0290455555556,1.4546436499171833,-207.637155,83.7182641816471,43.4288749679108,166.964328333333,-16.0290455555556,2.0,-104.150001525879,-100.820747375488,empty_1,43.4288749679108,43.4467554672738,83.7182641816471,83.705886681113,166.95426394423578,-16.026433107853396,0.6038633458320367,-0.15674686213214256,0.6011839907390567
2020031400060,2020-03-15 01:08:59.245999,58923.04790793981,1.0,166.964328333333,-16.0290455555556,1.4333727568277166,-207.701374,83.1623929035995,44.2391841693752,166.964328333333,-16.0290455555556,1.0,-104.150001525879,-100.85279083252,empty_1,44.2391841693752,44.2570758446236,83.1623929035995,83.149243373904,166.96272126563142,-16.030417784472785,0.09642406209358875,0.08233373503105561,0.12396568426331192
